K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
209987_s_at	287.4	5558.9	399.75	690.15	350.4	468.79999999999995	425.4	622.05	482.04999999999995	929.55
209988_s_at	287.4	5558.9	399.75	690.15	350.4	468.79999999999995	425.4	622.05	482.04999999999995	929.55
209989_at	287.4	5558.9	1371.4	690.15	350.4	468.79999999999995	425.4	622.05	482.04999999999995	929.55
209990_s_at	287.4	5558.9	893.8	690.15	350.4	468.79999999999995	425.4	622.05	482.04999999999995	929.55
209991_x_at	494.15	5558.9	893.8	690.15	350.4	468.79999999999995	165.5	622.05	482.04999999999995	426.15
209992_at	494.15	5558.9	893.8	690.15	350.4	468.79999999999995	627.9	622.05	482.04999999999995	426.15
209993_at	494.15	5558.9	893.8	690.15	350.4	468.79999999999995	627.9	622.05	482.04999999999995	426.15
209994_s_at	494.15	5558.9	893.8	690.15	350.4	468.79999999999995	627.9	622.05	482.04999999999995	426.15
209995_s_at	494.15	5558.9	893.8	690.15	350.4	468.79999999999995	627.9	622.05	482.04999999999995	426.15
209996_x_at	494.15	5558.9	893.8	690.15	350.4	468.79999999999995	627.9	622.05	482.04999999999995	426.15
209997_x_at	494.15	5558.9	893.8	690.15	350.4	468.79999999999995	627.9	622.05	482.04999999999995	426.15
209998_at	494.15	920.15	893.8	690.15	350.4	468.79999999999995	627.9	622.05	270.3	426.15
209999_x_at	494.15	920.15	893.8	690.15	350.4	468.79999999999995	627.9	622.05	5931.049999999999	426.15
210000_s_at	494.15	920.15	893.8	690.15	350.4	468.79999999999995	627.9	622.05	5931.049999999999	426.15
210001_s_at	494.15	920.15	893.8	690.15	350.4	468.79999999999995	627.9	622.05	5931.049999999999	426.15
210002_at	494.15	920.15	893.8	690.15	350.4	468.79999999999995	627.9	622.05	5931.049999999999	426.15
210004_at	494.15	920.15	893.8	690.15	350.4	468.79999999999995	627.9	622.05	5931.049999999999	426.15
210005_at	494.15	920.15	893.8	690.15	350.4	468.79999999999995	627.9	622.05	5931.049999999999	426.15
210006_at	494.15	920.15	893.8	690.15	350.4	468.79999999999995	627.9	935.25	5931.049999999999	426.15
210007_s_at	494.15	920.15	893.8	690.15	422.9	468.79999999999995	627.9	935.25	5931.049999999999	426.15
210008_s_at	494.15	920.15	893.8	690.15	422.9	468.79999999999995	627.9	935.25	5931.049999999999	426.15
210009_s_at	494.15	920.15	893.8	690.15	422.9	468.79999999999995	627.9	935.25	5931.049999999999	426.15
210010_s_at	494.15	920.15	893.8	690.15	422.9	2200.025	627.9	935.25	5931.049999999999	426.15
210011_s_at	494.15	920.15	893.8	690.15	422.9	276.0	627.9	935.25	5931.049999999999	426.15
210012_s_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210013_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210014_x_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210015_s_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210016_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210017_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210018_x_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210019_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210020_x_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	426.15
210021_s_at	494.15	920.15	893.8	653.3	422.9	566.5	627.9	935.25	5931.049999999999	247.3
210022_at	494.15	920.15	10845.75	653.3	422.9	566.5	627.9	935.25	5931.049999999999	683.375
210023_s_at	494.15	920.15	364.65	653.3	422.9	566.5	627.9	935.25	5931.049999999999	683.375
210024_s_at	494.15	920.15	364.65	653.3	422.9	566.5	627.9	935.25	5931.049999999999	683.375
210025_s_at	494.15	920.15	364.65	653.3	164.05	566.5	627.9	935.25	5931.049999999999	683.375
210026_s_at	494.15	920.15	364.65	653.3	164.05	566.5	627.9	935.25	5931.049999999999	683.375
210027_s_at	494.15	920.15	364.65	653.3	164.05	566.5	627.9	935.25	5931.049999999999	683.375
210028_s_at	2629.05	920.15	364.65	653.3	164.05	545.05	627.9	466.04999999999995	5931.049999999999	683.375
210029_at	918.5	920.15	364.65	653.3	164.05	545.05	627.9	466.04999999999995	5931.049999999999	683.375
210030_at	918.5	920.15	364.65	653.3	164.05	545.05	627.9	466.04999999999995	5931.049999999999	683.375
210031_at	918.5	920.15	364.65	653.3	164.05	545.05	627.9	466.04999999999995	5931.049999999999	683.375
210032_s_at	918.5	920.15	364.65	653.3	164.05	545.05	627.9	466.04999999999995	5931.049999999999	683.375
210033_s_at	918.5	920.15	364.65	653.3	164.05	545.05	627.9	466.04999999999995	5931.049999999999	683.375
210034_s_at	918.5	920.15	364.65	653.3	164.05	545.05	627.9	466.04999999999995	5931.049999999999	683.375
210035_s_at	918.5	920.15	364.65	653.3	164.05	545.05	627.9	466.04999999999995	5931.049999999999	683.375
210036_s_at	918.5	920.15	364.65	653.3	164.05	545.05	818.175	466.04999999999995	5931.049999999999	683.375
210037_s_at	918.5	920.15	364.65	653.3	164.05	545.05	818.175	466.04999999999995	1608.4	683.375
210038_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	683.375
210039_s_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	683.375
210040_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	683.375
210041_s_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	683.375
210042_s_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	683.375
210043_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	683.375
210044_s_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	683.375
210045_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	299.8
210046_s_at	918.5	347.75	364.65	653.3	164.05	545.05	818.175	466.04999999999995	898.9	442.5
210047_at	918.5	347.75	364.65	653.3	714.65	545.05	818.175	466.04999999999995	898.9	296.8
210048_at	918.5	347.75	364.65	653.3	714.65	545.05	818.175	466.04999999999995	898.9	278.0
210049_at	918.5	347.75	364.65	554.45	714.65	545.05	818.175	466.04999999999995	898.9	239.5
210050_at	918.5	347.75	364.65	554.45	714.65	545.05	818.175	466.04999999999995	898.9	255.3
210051_at	918.5	347.75	364.65	554.45	714.65	545.05	818.175	466.04999999999995	898.9	289.8
210052_s_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	466.04999999999995	898.9	311.8
210053_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	466.04999999999995	898.9	242.8
210054_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	898.9	227.3
210055_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	898.9	220.0
210056_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	898.9	210.8
210057_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	898.9	141.0
210058_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	267.8	342.3
210059_s_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	282.8
210060_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	409.5
210061_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	223.0
210062_s_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	314.3
210063_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	393.8
210064_s_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	275.5
210065_s_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	1636.8000000000002
210066_s_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	1636.8000000000002
210067_at	918.5	347.75	129.65	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	1636.8000000000002
210068_s_at	918.5	347.75	5407.55	554.45	714.65	545.05	818.175	1028.9	456.42499999999995	1636.8000000000002
210069_at	918.5	347.75	342.15	554.45	13158.15	5407.55	818.175	1028.9	456.42499999999995	1636.8000000000002
210070_s_at	672.9	347.75	342.15	554.45	13158.15	822.8	818.175	518.275	456.42499999999995	1636.8000000000002
210072_at	672.9	347.75	342.15	554.45	13158.15	822.8	818.175	518.275	456.42499999999995	1636.8000000000002
210073_at	672.9	347.75	342.15	554.45	13158.15	822.8	818.175	518.275	456.42499999999995	1636.8000000000002
210074_at	672.9	347.75	342.15	554.45	13158.15	822.8	818.175	518.275	456.42499999999995	1636.8000000000002
210075_at	672.9	347.75	342.15	2528.9	13158.15	822.8	818.175	518.275	456.42499999999995	1636.8000000000002
210076_x_at	672.9	347.75	342.15	402.8	13158.15	822.8	818.175	518.275	456.42499999999995	1636.8000000000002
210077_s_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210078_s_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210079_x_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210080_x_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210081_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210082_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210083_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210084_x_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210085_s_at	672.9	347.75	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210086_at	672.9	929.9	342.15	402.8	13158.15	822.8	383.4	518.275	374.4	1636.8000000000002
210087_s_at	672.9	929.9	342.15	402.8	13158.15	822.8	383.4	294.65	374.4	1636.8000000000002
210088_x_at	672.9	929.9	342.15	402.8	13158.15	822.8	383.4	294.65	374.4	1636.8000000000002
210089_s_at	672.9	929.9	342.15	402.8	13158.15	822.8	383.4	294.65	374.4	1636.8000000000002
210090_at	672.9	929.9	342.15	402.8	741.15	822.8	383.4	294.65	374.4	5002.65
210091_s_at	672.9	929.9	342.15	402.8	741.15	822.8	383.4	294.65	374.4	752.15
210092_at	672.9	929.9	342.15	402.8	741.15	822.8	383.4	294.65	374.4	752.15
210093_s_at	672.9	929.9	342.15	402.8	741.15	822.8	383.4	294.65	374.4	752.15
210094_s_at	672.9	929.9	342.15	402.8	741.15	822.8	383.4	294.65	374.4	752.15
210095_s_at	672.9	929.9	299.9	402.8	741.15	822.8	383.4	294.65	374.4	752.15
210096_at	672.9	929.9	299.9	402.8	741.15	822.8	383.4	294.65	374.4	752.15
210097_s_at	672.9	929.9	299.9	402.8	741.15	822.8	383.4	294.65	374.4	752.15
210098_s_at	672.9	929.9	299.9	145.5	741.15	822.8	383.4	294.65	374.4	752.15
210099_at	672.9	929.9	299.9	926.65	741.15	822.8	383.4	294.65	374.4	752.15
210100_s_at	672.9	929.9	299.9	926.65	741.15	822.8	383.4	294.65	374.4	752.15
210101_x_at	672.9	929.9	299.9	926.65	741.15	822.8	383.4	294.65	374.4	752.15
210102_at	672.9	929.9	299.9	926.65	741.15	822.8	383.4	294.65	374.4	752.15
210103_s_at	672.9	929.9	299.9	926.65	741.15	822.8	383.4	294.65	374.4	752.15
210104_at	672.9	929.9	299.9	926.65	741.15	822.8	207.8	294.65	374.4	752.15
210105_s_at	672.9	929.9	299.9	926.65	741.15	822.8	486.8	294.65	803.3	752.15
210106_at	672.9	929.9	299.9	926.65	741.15	822.8	213.55	294.65	989.3	752.15
210107_at	672.9	929.9	299.9	926.65	741.15	822.8	213.55	294.65	989.3	752.15
210108_at	672.9	929.9	299.9	926.65	437.9	822.8	213.55	294.65	989.3	752.15
210109_at	672.9	929.9	299.9	926.65	437.9	822.8	213.55	294.65	989.3	752.15
210110_x_at	672.9	929.9	299.9	926.65	437.9	822.8	213.55	294.65	989.3	752.15
210111_s_at	672.9	929.9	299.9	926.65	437.9	191.4	213.55	294.65	989.3	752.15
210112_at	672.9	929.9	299.9	926.65	437.9	191.4	213.55	294.65	989.3	752.15
210113_s_at	672.9	929.9	299.9	926.65	437.9	191.4	213.55	294.65	989.3	752.15
210114_at	5258.15	929.9	299.9	926.65	437.9	191.4	213.55	294.65	989.3	752.15
210115_at	897.65	929.9	299.9	926.65	437.9	191.4	213.55	294.65	989.3	888.4
210116_at	897.65	929.9	299.9	926.65	437.9	191.4	213.55	294.65	989.3	888.4
210117_at	897.65	929.9	299.9	926.65	437.9	191.4	213.55	294.65	989.3	888.4
210118_s_at	897.65	929.9	299.9	926.65	437.9	191.4	213.55	294.65	989.3	888.4
210119_at	897.65	929.9	299.9	926.65	437.9	191.4	213.55	900.0	989.3	888.4
210120_s_at	897.65	929.9	299.9	926.65	437.9	191.4	213.55	900.0	989.3	888.4
210121_at	897.65	929.9	713.0	926.65	437.9	191.4	213.55	900.0	989.3	888.4
210122_at	897.65	929.9	713.0	926.65	437.9	191.4	213.55	900.0	989.3	888.4
210123_s_at	897.65	929.9	713.0	926.65	437.9	191.4	213.55	900.0	989.3	888.4
210124_x_at	897.65	929.9	713.0	926.65	437.9	191.4	213.55	900.0	989.3	888.4
210125_s_at	897.65	929.9	713.0	926.65	437.9	191.4	213.55	900.0	210.65	888.4
210126_at	897.65	929.9	713.0	926.65	437.9	191.4	213.55	900.0	210.65	888.4
210127_at	897.65	929.9	713.0	834.55	437.9	191.4	213.55	900.0	210.65	888.4
210128_s_at	897.65	929.9	713.0	834.55	437.9	191.4	213.55	900.0	210.65	888.4
210129_s_at	897.65	929.9	713.0	834.55	437.9	191.4	213.55	900.0	210.65	888.4
210130_s_at	897.65	929.9	713.0	834.55	437.9	191.4	213.55	900.0	210.65	888.4
210131_x_at	897.65	929.9	713.0	834.55	465.5	191.4	1636.8000000000002	900.0	210.65	888.4
210132_at	897.65	929.9	713.0	834.55	486.9	191.4	1636.8000000000002	900.0	210.65	888.4
210133_at	897.65	929.9	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210134_x_at	897.65	929.9	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210135_s_at	897.65	929.9	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210136_at	897.65	929.9	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210137_s_at	897.65	929.9	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210138_at	897.65	929.9	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210139_s_at	897.65	929.9	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210140_at	897.65	929.9	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210141_s_at	897.65	1964.4	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210142_x_at	897.65	1964.4	713.0	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210143_at	897.65	2465.325	454.54999999999995	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210144_at	897.65	2465.325	454.54999999999995	834.55	486.9	191.4	981.9	900.0	210.65	888.4
210145_at	897.65	2465.325	454.54999999999995	834.55	486.9	66.3	981.9	900.0	210.65	888.4
210146_x_at	897.65	2465.325	454.54999999999995	834.55	486.9	1958.1750000000002	981.9	900.0	210.65	888.4
210147_at	897.65	2465.325	454.54999999999995	834.55	486.9	1958.1750000000002	981.9	385.4	210.65	888.4
210148_at	897.65	2465.325	454.54999999999995	834.55	486.9	1958.1750000000002	981.9	385.4	124.0	888.4
210149_s_at	897.65	2465.325	454.54999999999995	834.55	486.9	1958.1750000000002	981.9	385.4	124.0	64.5
210150_s_at	897.65	2465.325	454.54999999999995	834.55	486.9	1958.1750000000002	981.9	385.4	124.0	13227.05
210151_s_at	897.65	2465.325	454.54999999999995	834.55	486.9	1958.1750000000002	981.9	385.4	124.0	13227.05
210152_at	897.65	2465.325	454.54999999999995	834.55	486.9	1958.1750000000002	981.9	385.4	124.0	13227.05
210153_s_at	897.65	2465.325	454.54999999999995	846.225	486.9	1958.1750000000002	981.9	385.4	124.0	13227.05
210154_at	897.65	2465.325	454.54999999999995	846.225	512.65	1958.1750000000002	981.9	385.4	124.0	13227.05
210155_at	543.25	2465.325	454.54999999999995	846.225	512.65	1958.1750000000002	981.9	385.4	124.0	13227.05
210156_s_at	543.25	2465.325	454.54999999999995	846.225	512.65	1958.1750000000002	981.9	385.4	124.0	13227.05
210157_at	543.25	2465.325	454.54999999999995	846.225	512.65	1958.1750000000002	981.9	385.4	124.0	13227.05
210158_at	543.25	2465.325	454.54999999999995	846.225	512.65	1958.1750000000002	981.9	385.4	124.0	13227.05
210159_s_at	543.25	2465.325	454.54999999999995	846.225	512.65	1958.1750000000002	981.9	385.4	124.0	13227.05
210160_at	543.25	2465.325	454.54999999999995	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210161_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210162_s_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210163_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210164_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210165_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210166_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210167_s_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210168_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210169_at	543.25	2465.325	690.15	846.225	512.65	1958.1750000000002	618.4	385.4	124.0	13227.05
210170_at	543.25	2465.325	690.15	846.225	512.65	449.65	618.4	385.4	124.0	13227.05
210171_s_at	543.25	2465.325	690.15	846.225	512.65	449.65	618.4	385.4	124.0	13227.05
210172_at	543.25	2465.325	690.15	846.225	512.65	449.65	618.4	385.4	935.25	13227.05
210173_at	543.25	2465.325	690.15	846.225	512.65	449.65	618.4	385.4	935.25	13227.05
210174_at	543.25	2465.325	690.15	846.225	512.65	449.65	618.4	579.55	935.25	13227.05
210175_at	543.25	2465.325	690.15	846.225	512.65	449.65	618.4	579.55	935.25	13227.05
210176_at	543.25	2465.325	690.15	846.225	512.65	449.65	618.4	579.55	935.25	13227.05
210177_at	543.25	2465.325	690.15	846.225	289.0	449.65	618.4	579.55	935.25	960.05
210178_x_at	543.25	2465.325	690.15	846.225	449.05	449.65	618.4	579.55	935.25	960.05
210179_at	543.25	2465.325	690.15	846.225	449.05	449.65	618.4	579.55	935.25	960.05
210180_s_at	543.25	2465.325	690.15	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210181_s_at	543.25	2465.325	690.15	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210182_at	543.25	2465.325	690.15	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210183_x_at	543.25	2465.325	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210184_at	543.25	2465.325	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210185_at	543.25	2465.325	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210186_s_at	543.25	2465.325	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210187_at	543.25	2465.325	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210188_at	543.25	2465.325	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210189_at	543.25	2465.325	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210190_at	543.25	634.9	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210191_s_at	543.25	634.9	846.225	724.8499999999999	449.05	449.65	618.4	579.55	935.25	960.05
210192_at	543.25	634.9	846.225	724.8499999999999	449.05	449.65	618.4	379.95	935.25	960.05
210193_at	543.25	634.9	846.225	724.8499999999999	449.05	449.65	618.4	379.95	935.25	960.05
210194_at	543.25	634.9	846.225	724.8499999999999	449.05	449.65	641.0	379.95	935.25	960.05
210195_s_at	543.25	634.9	846.225	724.8499999999999	449.05	449.65	641.0	379.95	935.25	960.05
210196_s_at	800.55	634.9	846.225	724.8499999999999	449.05	449.65	641.0	379.95	935.25	960.05
210197_at	800.55	634.9	846.225	724.8499999999999	449.05	449.65	641.0	379.95	935.25	960.05
210198_s_at	800.55	634.9	846.225	724.8499999999999	449.05	449.65	641.0	379.95	935.25	306.55
210199_at	800.55	634.9	846.225	724.8499999999999	201.3	449.65	641.0	379.95	935.25	306.55
210200_at	800.55	634.9	846.225	724.8499999999999	392.25	449.65	641.0	379.95	935.25	306.55
210201_x_at	800.55	634.9	846.225	724.8499999999999	392.25	449.65	641.0	379.95	935.25	306.55
210202_s_at	800.55	634.9	846.225	724.8499999999999	392.25	449.65	641.0	379.95	935.25	306.55
210203_at	800.55	634.9	846.225	724.8499999999999	392.25	449.65	641.0	379.95	3679.9	306.55
210204_s_at	800.55	634.9	846.225	724.8499999999999	392.25	449.65	641.0	379.95	3679.9	306.55
210205_at	800.55	634.9	846.225	724.8499999999999	392.25	449.65	641.0	379.95	764.8	306.55
210206_s_at	800.55	634.9	846.225	724.8499999999999	392.25	346.5	641.0	379.95	764.8	306.55
210208_x_at	800.55	634.9	846.225	724.8499999999999	392.25	346.5	641.0	379.95	764.8	306.55
210210_at	800.55	634.9	846.225	724.8499999999999	392.25	346.5	641.0	379.95	764.8	306.55
210211_s_at	800.55	634.9	846.225	724.8499999999999	392.25	346.5	641.0	379.95	764.8	306.55
210212_x_at	800.55	634.9	846.225	4969.05	392.25	346.5	641.0	379.95	764.8	306.55
210213_s_at	800.55	634.9	846.225	1552.05	392.25	346.5	641.0	379.95	764.8	306.55
210214_s_at	800.55	634.9	846.225	195.8	392.25	346.5	641.0	379.95	764.8	306.55
210215_at	800.55	634.9	846.225	195.8	392.25	346.5	641.0	379.95	764.8	306.55
210216_x_at	800.55	634.9	846.225	195.8	392.25	346.5	641.0	379.95	764.8	306.55
210218_s_at	800.55	634.9	846.225	195.8	392.25	346.5	641.0	379.95	764.8	306.55
210219_at	800.55	634.9	368.0	195.8	392.25	346.5	641.0	379.95	764.8	306.55
210220_at	800.55	634.9	368.0	195.8	62.55	346.5	641.0	379.95	764.8	306.55
210221_at	800.55	634.9	368.0	195.8	385.0	346.5	641.0	379.95	764.8	677.05
210222_s_at	800.55	634.9	368.0	195.8	385.0	346.5	785.3	379.95	764.8	677.05
210223_s_at	800.55	634.9	368.0	195.8	385.0	346.5	785.3	379.95	764.8	677.05
210224_at	800.55	634.9	368.0	195.8	385.0	346.5	785.3	4969.05	764.8	677.05
210225_x_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	764.8	677.05
210226_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	764.8	677.05
210227_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	764.8	677.05
210228_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	764.8	677.05
210229_s_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	764.8	677.05
210230_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	764.8	677.05
210231_x_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	2974.15	677.05
210232_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	2974.15	677.05
210233_at	800.55	511.5	368.0	195.8	385.0	346.5	785.3	266.9	2974.15	677.05
210234_at	800.55	511.5	368.0	697.65	385.0	346.5	785.3	266.9	2974.15	677.05
210235_s_at	800.55	511.5	368.0	697.65	385.0	346.5	785.3	266.9	2974.15	677.05
210236_at	800.55	511.5	486.25	697.65	385.0	346.5	785.3	266.9	2974.15	677.05
210237_at	800.55	511.5	486.25	697.65	385.0	346.5	785.3	266.9	2974.15	677.05
210239_at	800.55	511.5	486.25	697.65	385.0	346.5	785.3	266.9	2974.15	677.05
210240_s_at	800.55	511.5	486.25	697.65	385.0	346.5	785.3	266.9	2974.15	677.05
210241_s_at	800.55	511.5	486.25	697.65	385.0	346.5	785.3	266.9	2974.15	677.05
210242_x_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	2974.15	677.05
210243_s_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	2974.15	677.05
210244_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	2974.15	677.05
210245_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	2974.15	677.05
210246_s_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	2974.15	677.05
210247_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	2974.15	297.35
210248_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	2974.15	297.35
210249_s_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	2974.15	297.35
210250_x_at	800.55	511.5	486.25	697.65	398.15	346.5	785.3	266.9	3208.4	297.35
210251_s_at	413.65	511.5	486.25	697.65	398.15	346.5	785.3	266.9	3208.4	297.35
210252_s_at	413.65	511.5	486.25	697.65	398.15	346.5	785.3	266.9	3208.4	297.35
210253_at	413.65	511.5	255.9	697.65	398.15	346.5	264.05	315.5	3208.4	297.35
210254_at	413.65	511.5	255.9	697.65	398.15	701.3	264.05	315.5	3208.4	297.35
210255_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	297.35
210256_s_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	297.35
210257_x_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	297.35
210258_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	297.35
210259_s_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	297.35
210260_s_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	297.35
210261_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	297.35
210262_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	640.65
210263_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	640.65
210264_at	413.65	511.5	255.9	425.4	398.15	701.3	264.05	315.5	3208.4	640.65
210265_x_at	413.65	511.5	255.9	425.4	525.65	701.3	264.05	315.5	3208.4	640.65
210266_s_at	413.65	511.5	255.9	425.4	525.65	701.3	264.05	315.5	3208.4	640.65
210267_at	413.65	511.5	255.9	425.4	525.65	701.3	264.05	315.5	3208.4	640.65
210268_at	413.65	511.5	255.9	425.4	525.65	701.3	264.05	315.5	3208.4	640.65
210269_s_at	413.65	511.5	255.9	425.4	525.65	701.3	264.05	315.5	3208.4	640.65
210270_at	413.65	511.5	255.9	425.4	525.65	701.3	264.05	315.5	3208.4	640.65
210271_at	413.65	511.5	255.9	425.4	525.65	701.3	264.05	315.5	3208.4	640.65
210272_at	413.65	511.5	255.9	425.4	525.65	701.3	264.05	315.5	452.75	640.65
