K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
200604_s_at	180.3	929.05	179.75	190.3	12780.9	12182.15	6927.75	292.9	654.9	410.3
200605_s_at	285.5	929.05	179.75	378.0	12780.9	12182.15	6927.75	765.65	654.9	469.0
200606_at	94.5	929.05	179.75	378.0	12780.9	12182.15	6927.75	765.65	654.9	258.8
200607_s_at	193.5	929.05	179.75	378.0	4505.65	12182.15	6927.75	765.65	654.9	493.3
200608_s_at	187.5	929.05	179.75	378.0	4505.65	12182.15	6927.75	765.65	654.9	82.5
200609_s_at	418.0	929.05	843.8	476.54999999999995	4505.65	12182.15	6927.75	765.65	4467.0	82.5
200610_s_at	598.3	929.05	1104.3	476.54999999999995	4505.65	12182.15	6927.75	765.65	228.15	82.5
200611_s_at	366.3	929.05	858.3	476.54999999999995	4505.65	12182.15	2754.3	765.65	228.15	388.25
200612_s_at	272.5	929.05	299.0	476.54999999999995	4505.65	12182.15	2754.3	765.65	228.15	388.25
200613_at	286.0	929.05	670.5	476.54999999999995	4505.65	12182.15	2754.3	765.65	402.65	388.25
200614_at	416.3	929.05	516.3	357.4	656.0	12182.15	2754.3	765.65	402.65	388.25
200615_s_at	141.8	929.05	166.8	357.4	656.0	12182.15	2754.3	765.65	402.65	112.25
200616_s_at	195.3	929.05	210.8	357.4	3735.5	12182.15	2754.3	7084.799999999999	402.65	112.25
200617_at	184.8	929.05	251.5	357.4	3735.5	12182.15	240.4	7084.799999999999	402.65	112.25
200618_at	360.8	929.05	462.3	357.4	3735.5	832.5999999999999	240.4	7084.799999999999	402.65	112.25
200619_at	253.9	929.05	653.3	357.4	3735.5	832.5999999999999	240.4	7084.799999999999	402.65	112.25
200620_at	253.9	394.9	516.5	357.4	3735.5	832.5999999999999	240.4	7084.799999999999	194.525	112.25
200621_at	253.9	394.9	210.0	357.4	3735.5	832.5999999999999	240.4	104.15	194.525	393.5
200622_x_at	253.9	394.9	349.5	79.25	3735.5	832.5999999999999	240.4	104.15	194.525	459.8
200623_s_at	253.9	394.9	1150.05	79.25	3735.5	832.5999999999999	240.4	104.15	194.525	400.55
200624_s_at	253.9	394.9	1150.05	79.25	7170.9	832.5999999999999	90.15	278.75	194.525	400.55
200625_s_at	253.9	394.9	1150.05	79.25	1001.15	832.5999999999999	90.15	278.75	194.525	400.55
200626_s_at	253.9	394.9	1150.05	79.25	1001.15	832.5999999999999	90.15	278.75	194.525	400.55
200627_at	253.9	394.9	1150.05	79.25	1001.15	832.5999999999999	90.15	278.75	194.525	400.55
200628_s_at	253.9	394.9	1150.05	79.25	1001.15	832.5999999999999	8581.15	278.75	194.525	400.55
200629_at	253.9	394.9	1150.05	79.25	1001.15	832.5999999999999	8581.15	278.75	111.9	400.55
200630_x_at	253.9	394.9	1150.05	8809.0	1001.15	832.5999999999999	8581.15	278.75	111.9	925.3
200631_s_at	253.9	394.9	1150.05	8809.0	1001.15	832.5999999999999	8581.15	278.75	111.9	1233.3
200632_s_at	253.9	394.9	1424.175	8809.0	1001.15	832.5999999999999	8581.15	278.75	111.9	412.5
200633_at	253.9	394.9	247.15	8809.0	1001.15	832.5999999999999	8581.15	278.75	111.9	4388.5
200634_at	436.8	394.9	247.15	8809.0	1001.15	228.15	8581.15	278.75	111.9	1934.5
200635_s_at	436.8	394.9	247.15	8809.0	1001.15	228.15	5002.65	278.75	159.65	970.5
200636_s_at	436.8	394.9	247.15	8809.0	607.3	228.15	5002.65	4754.275	159.65	970.5
200637_s_at	436.8	84.55	247.15	8809.0	607.3	228.15	5002.65	226.25	159.65	970.5
200638_s_at	436.8	84.55	247.15	724.8	607.3	228.15	5002.65	226.25	159.65	970.5
200639_s_at	436.8	84.55	247.15	724.8	607.3	228.15	844.25	226.25	192.9	970.5
200640_at	436.8	84.55	247.15	724.8	607.3	228.15	844.25	226.25	192.9	970.5
200641_s_at	436.8	84.55	247.15	724.8	607.3	1424.175	844.25	226.25	192.9	204.15
200642_at	315.5	84.55	247.15	724.8	7994.4	1413.65	844.25	226.25	192.9	204.15
200643_at	315.5	84.55	247.15	724.8	7994.4	1413.65	2718.9	226.25	192.9	204.15
200644_at	315.5	84.55	247.15	724.8	7994.4	1413.65	2718.9	226.25	192.9	204.15
200645_at	315.5	84.55	247.15	724.8	7994.4	1413.65	2718.9	245.25	192.9	204.15
200646_s_at	315.5	84.55	247.15	724.8	7994.4	1413.65	2718.9	245.25	192.9	204.15
200647_x_at	315.5	90.15	247.15	724.8	7994.4	1413.65	2718.9	245.25	192.9	204.15
200648_s_at	315.5	90.15	247.15	724.8	3251.3	1413.65	2718.9	245.25	192.9	204.15
200649_at	315.5	90.15	247.15	724.8	3251.3	1413.65	2718.9	245.25	192.9	204.15
200650_s_at	315.5	90.15	970.5	724.8	3251.3	1413.65	634.8	127.75	124.9	77.8
200651_at	364.15	90.15	970.5	724.8	3251.3	1413.65	634.8	127.75	124.9	77.8
200652_at	364.15	90.15	970.5	724.8	3251.3	1413.65	634.8	127.75	124.9	77.8
200653_s_at	364.15	90.15	970.5	9916.05	3251.3	1413.65	634.8	127.75	124.9	634.3
200654_at	364.15	90.15	970.5	9916.05	3251.3	1413.65	634.8	127.75	124.9	680.0
200655_s_at	364.15	90.15	970.5	9916.05	3251.3	1413.65	634.8	127.75	124.9	309.15
200656_s_at	364.15	90.15	970.5	9916.05	3251.3	1413.65	634.8	127.75	124.9	309.15
200657_at	364.15	90.15	1648.15	9916.05	3251.3	1413.65	634.8	127.75	12233.4	309.15
200658_s_at	364.15	90.15	1648.15	9916.05	3251.3	1413.65	3409.9	1282.15	12233.4	309.15
200659_s_at	364.15	90.15	1648.15	9916.05	192.65	1413.65	700.15	1282.15	12233.4	309.15
200660_at	364.15	90.15	1648.15	9916.05	192.65	1413.65	700.15	1282.15	12233.4	309.15
200661_at	364.15	90.15	1648.15	9916.05	192.65	1413.65	700.15	1282.15	12233.4	309.15
200662_s_at	364.15	90.15	113.15	9916.05	192.65	3770.5	700.15	1282.15	12233.4	309.15
200663_at	364.15	90.15	113.15	2677.5	192.65	1824.5	700.15	1282.15	12233.4	309.15
200664_s_at	364.15	143.3	113.15	2677.5	192.65	940.9749999999999	700.15	1282.15	12233.4	441.8
200665_s_at	364.15	1059.05	113.15	2677.5	192.65	940.9749999999999	700.15	1282.15	12233.4	199.0
200666_s_at	364.15	1059.05	113.15	2677.5	192.65	940.9749999999999	700.15	1282.15	12233.4	420.0
200667_at	364.15	1059.05	113.15	2677.5	192.65	940.9749999999999	700.15	1282.15	12233.4	672.5
200668_s_at	364.15	1059.05	113.15	2677.5	192.65	940.9749999999999	700.15	1282.15	12233.4	1104.0
200669_s_at	345.8	1059.05	113.15	193.9	243.65	940.9749999999999	700.15	879.0	12233.4	596.0
200670_at	345.8	1059.05	113.15	193.9	243.65	940.9749999999999	700.15	337.0	12233.4	401.9
200671_s_at	345.8	1059.05	113.15	193.9	243.65	940.9749999999999	700.15	252.5	12233.4	401.9
200672_x_at	345.8	1059.05	113.15	193.9	243.65	940.9749999999999	700.15	512.3	559.8	401.9
